frame_idx,time_s,peak_clean_db,peak_noisy_db,file_name
33,1.5945043563842773,-98.1648022100469,-98.17401719172578,cir_frame_0033.npz
34,1.6428227424621582,-98.32971109510152,-98.35559416235525,cir_frame_0034.npz
35,1.6911410093307495,-98.491637120434,-98.51683103277416,cir_frame_0035.npz
36,1.7394593954086304,-98.65068516000171,-98.59442379745127,cir_frame_0036.npz
37,1.7877776622772217,-98.80695114588491,-98.85359894709168,cir_frame_0037.npz
38,1.836095929145813,-98.96052587342056,-98.99800535496959,cir_frame_0038.npz
39,1.8844143152236938,-99.1115036576919,-99.07190516764717,cir_frame_0039.npz
40,1.9327325820922852,-99.25996254009718,-99.28770657344592,cir_frame_0040.npz
41,1.981050968170166,-99.40599039939343,-99.38233093740428,cir_frame_0041.npz
42,2.029369354248047,-99.54965400654336,-99.62161549891056,cir_frame_0042.npz
43,2.0776875019073486,-99.6910343794213,-99.69931826225465,cir_frame_0043.npz
44,2.1260058879852295,-99.83019525139406,-99.80916548143458,cir_frame_0044.npz
45,2.1743242740631104,-99.96721536688409,-99.96944144181334,cir_frame_0045.npz
46,2.222642421722412,-100.10213972816723,-100.11615173356381,cir_frame_0046.npz
47,2.270960807800293,-100.2350501836093,-100.2657391207562,cir_frame_0047.npz
48,2.319279193878174,-100.3659910596663,-100.35084995065816,cir_frame_0048.npz
49,2.3675973415374756,-100.49502373097455,-100.47223949105214,cir_frame_0049.npz
50,2.4159157276153564,-100.62220073107,-100.60421128483257,cir_frame_0050.npz
51,2.4642341136932373,-100.74757388953573,-100.76159211097432,cir_frame_0051.npz
52,2.512552499771118,-100.87119477576809,-100.89426368971382,cir_frame_0052.npz
53,2.56087064743042,-100.99310675069104,-101.02608049971144,cir_frame_0053.npz
54,2.609189033508301,-101.11335921380177,-101.15385006062816,cir_frame_0054.npz
55,2.6575074195861816,-101.23199601363834,-101.24068903446344,cir_frame_0055.npz
56,2.7058255672454834,-101.34905561837625,-101.32752839874767,cir_frame_0056.npz
57,2.7541439533233643,-101.46458204642757,-101.49253824480569,cir_frame_0057.npz
58,2.802462339401245,-101.5786162428634,-101.5760354928915,cir_frame_0058.npz
59,2.850780487060547,-101.69118854892463,-101.68405114356467,cir_frame_0059.npz
60,2.8990988731384277,-101.80234242262692,-101.85686923278665,cir_frame_0060.npz
61,2.9474172592163086,-101.91211238335617,-101.79955671167208,cir_frame_0061.npz
62,2.9957356452941895,-102.02052537329187,-102.0210613820202,cir_frame_0062.npz
63,3.044053792953491,-102.12762239288242,-102.08318623030664,cir_frame_0063.npz
64,3.092372179031372,-102.2334289501133,-102.2386958316454,cir_frame_0064.npz
65,3.140690565109253,-102.33797758884799,-102.34802115993958,cir_frame_0065.npz
66,3.1890087127685547,-102.44129662254937,-102.42408058266054,cir_frame_0066.npz
67,3.2373270988464355,-102.54341432524099,-102.57881302624325,cir_frame_0067.npz
68,3.2856454849243164,-102.6443604876672,-102.67275740236636,cir_frame_0068.npz
69,3.3339638710021973,-102.74416034898694,-102.72735518756393,cir_frame_0069.npz
70,3.382282018661499,-102.84283592228255,-102.86344611997882,cir_frame_0070.npz
71,3.43060040473938,-102.94041609722937,-102.90818729718535,cir_frame_0071.npz
72,3.4789187908172607,-103.03692048339734,-103.0340341522441,cir_frame_0072.npz
73,3.5272369384765625,-103.13237582417969,-103.13566766891287,cir_frame_0073.npz
74,3.5755553245544434,-103.22680783285519,-103.19223888980189,cir_frame_0074.npz
75,3.623873710632324,-103.32022782189935,-103.29115380581567,cir_frame_0075.npz
76,3.672191858291626,-103.41266667450826,-103.39898401002151,cir_frame_0076.npz
77,3.720510244369507,-103.50413981681552,-103.55434326448702,cir_frame_0077.npz
